2016.03.28 20:30:12.165570 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:12.178070 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:12.214793 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:12.225049 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:12.264099 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:12.269518 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:12.306722 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
2016.03.28 20:30:12.315626 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
2016.03.28 20:30:12.340739 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:12.348271 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
2016.03.28 20:30:12.373029 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591382fff in devices list
2016.03.28 20:30:12.382901 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 125->> update devices finish
2016.03.28 20:30:12.390827 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:12.396723 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:12.405847 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:12.433112 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:12.439345 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:12.466523 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:12.473729 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:12.501082 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:12.508880 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:12.540029 emergency    702 main ./onewire.pl 142->> ./onewire.pl get sig Inappropriate ioctl for device to shutdown 
